comment_sen,score
说实话，买了非常后悔，买之前没做功课，就一个游戏，拆封后不能退，好几个月了也不见有新游戏上架，买前一定考虑好,2
包装一个角有破损. 并且.第一天卖和第二天卖完全两个待遇？ 第一天买的没卡 第二天有卡？ 这么做事不合适吧？差评,2
说实话买来后悔了，游戏太少了，官方也不提示什么时候出新游戏，现在就一款马里奥游戏，虽然可以卡带。。没买的人还是在观望观望吧。,2
"稳定性：不想多说啥，第一次给差评！
买回来1个半月，玩了1个月宝可梦盾，抓了200只左右，突然今天黑屏了，怎么也开不了机，充电了也没反应，真的变成一块砖！气啊！",2
建议不要买国行，日版 港版 随意购买，国行只能插卡，没游戏，买了just dance2020 不能更新歌曲库，只有几首歌，觉得无聊，我是第一次接触ns的用户，体验很差*,2
作为一个买之前啥攻略也不看的国航勇士 建议大家千万不要买 国行出了也好几个月了 商店里只有一款游戏 每每玩上一个游戏觉得过瘾 最终总会发现自己玩的是阉割版 因为国行的商店不能买DLC 失去了很多娱乐性 要买就买港行日航 就国行那一两年的保修期 真的还不够用来等出游戏的 一定不要买 一定,2
本来支持一波国产的，但与预期的相差甚远，只有一个游戏，虽然广告单上写着随后会上新游戏，但说句难听话，国产游戏机要是爆死的话，这游戏机就砸到手里了，算了！已经拆封了，不可退换已经砸手里了。,3
国行就是**，我一萌新都受不了，完全没有游戏玩，还不能下数字游戏非得买卡，后悔了，真该买港版的，**货啊，只能买游戏卡玩单机，我都想出了谁要卖给谁，换港版去,3
"腾讯的封条直接半开的，怀疑二手。。。不过里面东西没问题。也不想没拆获得，开机红正常。就懒的换了
商店游戏只有一个，只能国内玩家联网。。。目前我也就玩塞尔达，直接买卡带了。也希望尽快搞起来啊。别国行勇士，没几天直接烈士了。。。",3
劝大家等一等，现在买了和板砖一样。一共一个游戏索然无味，买了卡带dcl不能用。只能等国行卡带出来，审核不等个一年半载能出来？花这么多钱为了看tx**？要么等一等，要么日版港版。国行买来拆了就不能退了，想赌的话可以来一手，要么真香要么tx**播放器，反正我是后悔了。早知道多花一点钱买个日版了,3
其他都还可以，但是没用几天左边就松了,2
运行速度：没什么好说的，除了物流满分，国行目前就是砖头，不想玩了，有意收的~,2
收到之后才知道，偌大个~企业，ns商店里只有一款马里奥游戏&hellip;&hellip;也不知道别的游戏卡能用不，也不敢试啊&hellip;&hellip;早知道这样买破解版了&hellip;&hellip;拆封还退不了&hellip;&hellip;日了个仙人板板&hellip;&hellip;快出游戏啊快出游戏啊快出游戏啊快出游戏啊,2
流畅度：很好运行速度：很棒稳定性：也不错画面效果：很棒产品包装：都破了第一次买国服的，只有失望，期望的啥也没有。出去，只能玩~家的游戏，然而，塞尔达游戏卡也不能更新，我不知道该说啥，~是不是该给国服玩家一点解释，你们自己看视频吧,3
机器没的说，虽不如PSxbx等豪华硬件配置，但买switch是冲着便捷性和游戏娱乐性去的，结果，国行我#就一个游戏，天天刷新商店都那一个游戏??。。我不是小朋友啦，我不要玩马里奥。。还是丢一边先吃灰吧。。。等~爸爸快马加鞭上架游戏,3
